Time,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed
15:35:26,27-02-2022,27.76,37.06,962.84,33.467609,72.836319,104.08
15:35:28,27-02-2022,27.77,37.07,962.76,33.468132,72.836342,104.45
15:35:30,27-02-2022,27.76,37.09,962.67,33.468655,72.836365,105.12
15:35:32,27-02-2022,27.77,37.1,962.65,33.469181,72.836395,104.86
15:35:34,27-02-2022,27.76,37.1,962.58,33.469711,72.836426,106.43
15:35:36,27-02-2022,27.77,37.11,962.62,33.470245,72.836456,106.62
15:35:38,27-02-2022,27.76,37.13,962.55,33.470783,72.836487,108.51
15:35:40,27-02-2022,27.76,37.16,962.57,33.471325,72.836517,108.06
15:35:42,27-02-2022,27.77,37.14,962.56,33.471867,72.836548,107.4
15:35:44,27-02-2022,27.77,37.11,962.48,33.472404,72.836586,107.68
15:35:46,27-02-2022,27.76,37.09,962.42,33.472939,72.836632,107.55
15:35:48,27-02-2022,27.77,37.07,962.45,33.473476,72.836693,107.9
15:35:50,27-02-2022,27.77,37.06,962.38,33.47401,72.836761,107.88
15:35:52,27-02-2022,27.77,37.04,962.39,33.474545,72.836868,107.99
15:35:54,27-02-2022,27.77,37.03,962.38,33.475079,72.83699,108.01
15:35:56,27-02-2022,27.77,37.01,962.42,33.475613,72.837151,108.6
15:35:58,27-02-2022,27.77,37,962.39,33.476139,72.837334,108.95
15:36:00,27-02-2022,27.78,37,962.49,33.476665,72.83754,109.73
15:36:02,27-02-2022,27.77,37,962.37,33.477188,72.837761,110.14
15:36:04,27-02-2022,27.77,37.01,962.57,33.477707,72.838005,110.16
15:36:06,27-02-2022,27.77,37,962.54,33.478214,72.838272,110.14
15:36:08,27-02-2022,27.77,37,962.49,33.478718,72.838562,110.05
15:36:10,27-02-2022,27.77,37,962.41,33.47921,72.83886,109.86
15:36:12,27-02-2022,27.77,36.99,962.34,33.479691,72.839188,109.55
15:36:14,27-02-2022,27.77,37,962.34,33.48016,72.839523,109.25
15:36:16,27-02-2022,27.77,37.01,962.33,33.480614,72.839882,109.01
15:36:18,27-02-2022,27.77,37.02,962.22,33.481056,72.840256,108.84
15:36:20,27-02-2022,27.77,37.02,962.14,33.481487,72.84066,108.99
15:36:22,27-02-2022,27.78,37.04,961.96,33.481911,72.841072,108.92
15:36:24,27-02-2022,27.78,37.06,961.91,33.482323,72.841492,108.68
15:36:26,27-02-2022,27.78,37.06,961.73,33.482727,72.841934,109.18
15:36:28,27-02-2022,27.78,37.06,961.59,33.48312,72.842392,109.45
15:36:30,27-02-2022,27.79,37.07,961.84,33.483505,72.842865,110.79
15:36:32,27-02-2022,27.78,37.07,961.7,33.483898,72.843338,111.92
15:36:34,27-02-2022,27.78,37.09,961.74,33.484295,72.843819,113.27
15:36:36,27-02-2022,27.78,37.09,961.97,33.484695,72.844307,114.1
15:36:38,27-02-2022,27.78,37.1,961.78,33.485104,72.844795,115.75
15:36:40,27-02-2022,27.78,37.1,962.09,33.485512,72.845284,115.81
15:36:42,27-02-2022,27.78,37.1,962.23,33.485912,72.845787,114.95
15:36:44,27-02-2022,27.78,37.1,962.31,33.486309,72.846275,112.01
15:36:46,27-02-2022,27.78,37.1,962.39,33.486706,72.846764,112.66
15:36:48,27-02-2022,27.79,37.13,962.44,33.487099,72.847252,112.06
15:36:50,27-02-2022,27.78,37.14,962.48,33.487492,72.84774,111.73
